Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,27,Chiapa de Corzo,2,Primavera-Verano,2,Temporal,200201,Tonelada,8810000,Sorgo grano,650,650,0,1950,3,1100,2145000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,27,Chiapa de Corzo,3,Perennes,2,Temporal,200201,Tonelada,6220000,Ciruela,1063,1063,0,7972.5,7.5,1800,14350500
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,27,Chiapa de Corzo,3,Perennes,2,Temporal,200201,Tonelada,7060000,Guayaba,122.5,122.5,0,612.5,5,800,490000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,27,Chiapa de Corzo,3,Perennes,2,Temporal,200201,Tonelada,7390000,Limón,42,42,0,319.2,7.6,1200,383040
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,27,Chiapa de Corzo,3,Perennes,2,Temporal,200201,Tonelada,7560000,Mango,86,86,0,1000,11.63,1197.23,1197225
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,27,Chiapa de Corzo,3,Perennes,2,Temporal,200201,Tonelada,8130000,Papaya,120,120,0,3815,31.79,1500,5722500
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,28,Chiapilla,1,Otoño-Invierno,1,Riego,200201,Tonelada,7490000,Maíz grano,385.25,385.25,0,963.12,2.5,1400,1348368
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,28,Chiapilla,2,Primavera-Verano,2,Temporal,200201,Tonelada,5690000,Cacahuate,33.25,33.25,0,53.2,1.6,3000,159600
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,28,Chiapilla,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,3484,3484,0,8710,2.5,1420,12368200
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,28,Chiapilla,2,Primavera-Verano,2,Temporal,200201,Tonelada,8810000,Sorgo grano,28,28,0,77,2.75,1250,96250
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,28,Chiapilla,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,15,15,0,123,8.2,1200,147600
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,28,Chiapilla,3,Perennes,2,Temporal,200201,Tonelada,6220000,Ciruela,139,139,0,931.3,6.7,1800,1676340
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,28,Chiapilla,3,Perennes,2,Temporal,200201,Tonelada,7390000,Limón,17,17,0,125.8,7.4,1000,125800
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,28,Chiapilla,3,Perennes,2,Temporal,200201,Tonelada,7540000,Mamey,25,25,0,120,4.8,1350,162000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,28,Chiapilla,3,Perennes,2,Temporal,200201,Tonelada,7560000,Mango,75,75,0,750,10,995.92,746937.5
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,28,Chiapilla,3,Perennes,2,Temporal,200201,Tonelada,9290000,Zapote,53,53,0,185.5,3.5,1600,296800
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,29,Chicoasén,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,2112,2112,0,1849.6,0.88,1420,2626432
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,44,Ixtapa,1,Otoño-Invierno,1,Riego,200201,Tonelada,7490000,Maíz grano,17,17,0,42.5,2.5,1400,59500
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,44,Ixtapa,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,8880,8880,0,22200,2.5,1420,31524000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,44,Ixtapa,3,Perennes,2,Temporal,200201,Tonelada,5710000,Café cereza,218,132,0,217.8,1.65,1750,381150
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,61,Ocozocoautla de Espinosa,1,Otoño-Invierno,1,Riego,200201,Tonelada,6840000,Frijol,7,7,0,3.5,0.5,6000,21000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,61,Ocozocoautla de Espinosa,1,Otoño-Invierno,1,Riego,200201,Tonelada,7490000,Maíz grano,33,33,0,115.5,3.5,1600,184800
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,61,Ocozocoautla de Espinosa,2,Primavera-Verano,2,Temporal,200201,Tonelada,5690000,Cacahuate,70,69.99,0.01,140,2,3000,420000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,61,Ocozocoautla de Espinosa,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,1200,1179,21,588,0.5,5000,2940000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,61,Ocozocoautla de Espinosa,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,35000,34340,660,106454,3.1,1600,170326400
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,61,Ocozocoautla de Espinosa,2,Primavera-Verano,2,Temporal,200201,Tonelada,8810000,Sorgo grano,320,320,0,960,3,1100,1056000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,61,Ocozocoautla de Espinosa,3,Perennes,2,Temporal,200201,Tonelada,5710000,Café cereza,3150,2855,0,4943,1.73,1930.37,9541800
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,61,Ocozocoautla de Espinosa,3,Perennes,2,Temporal,200201,Tonelada,7390000,Limón,10,10,0,75,7.5,1100,82500
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,61,Ocozocoautla de Espinosa,3,Perennes,2,Temporal,200201,Tonelada,7550000,Mandarina,5,5,0,30.5,6.1,700,21350
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,61,Ocozocoautla de Espinosa,3,Perennes,2,Temporal,200201,Tonelada,7560000,Mango,35,35,0,262.5,7.5,900,236250
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,61,Ocozocoautla de Espinosa,3,Perennes,2,Temporal,200201,Tonelada,7850000,Naranja,70,70,0,644,9.2,1000,644000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,61,Ocozocoautla de Espinosa,3,Perennes,2,Temporal,200201,Tonelada,8390000,Plátano,109,109,0,1002.8,9.2,1200,1203360
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,63,Osumacinta,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,3400,3400,0,3475,1.02,1420,4934500
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,79,San Fernando,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,5750,5750,0,7350,1.28,1420,10437000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,79,San Fernando,3,Perennes,2,Temporal,200201,Tonelada,5710000,Café cereza,1200,1200,0,2294.7,1.91,2317.98,5319060
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,79,San Fernando,3,Perennes,2,Temporal,200201,Tonelada,7390000,Limón,5,5,0,30,6,1200,36000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,79,San Fernando,3,Perennes,2,Temporal,200201,Tonelada,7850000,Naranja,20,20,0,160,8,1000,160000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,79,San Fernando,3,Perennes,2,Temporal,200201,Tonelada,8390000,Plátano,50,50,0,420,8.4,1500,630000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,85,Soyaló,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,3650,3650,0,9125,2.5,1420,12957500
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,86,Suchiapa,2,Primavera-Verano,2,Temporal,200201,Tonelada,5690000,Cacahuate,210,210,0,420,2,3000,1260000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,86,Suchiapa,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,7290,7271,19,16038,2.21,1420,22773960
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,86,Suchiapa,2,Primavera-Verano,2,Temporal,200201,Tonelada,8810000,Sorgo grano,180,180,0,720,4,1200,864000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,86,Suchiapa,3,Perennes,2,Temporal,200201,Tonelada,7390000,Limón,30,30,0,186,6.2,1100,204600
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,86,Suchiapa,3,Perennes,2,Temporal,200201,Tonelada,7550000,Mandarina,40,40,0,240,6,700,168000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,86,Suchiapa,3,Perennes,2,Temporal,200201,Tonelada,7560000,Mango,10,10,0,80,8,1070,85600
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,86,Suchiapa,3,Perennes,2,Temporal,200201,Tonelada,7850000,Naranja,10,10,0,60,6,900,54000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,98,Totolapa,1,Otoño-Invierno,1,Riego,200201,Tonelada,7490000,Maíz grano,108.5,108.5,0,271.25,2.5,1400,379750
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,98,Totolapa,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,6493,6493,0,18829.7,2.9,1420,26738174
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,98,Totolapa,2,Primavera-Verano,2,Temporal,200201,Tonelada,8810000,Sorgo grano,35,35,0,103.25,2.95,1250,129062.5
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,98,Totolapa,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,14,14,0,58.8,4.2,1200,70560
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,98,Totolapa,3,Perennes,2,Temporal,200201,Tonelada,6220000,Ciruela,10,10,0,60,6,1800,108000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,98,Totolapa,3,Perennes,2,Temporal,200201,Tonelada,7390000,Limón,10,10,0,72,7.2,1000,72000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,98,Totolapa,3,Perennes,2,Temporal,200201,Tonelada,7540000,Mamey,29,29,0,145,5,1350,195750
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,98,Totolapa,3,Perennes,2,Temporal,200201,Tonelada,7560000,Mango,127,127,0,1371.6,10.8,974.99,1337295
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,98,Totolapa,3,Perennes,2,Temporal,200201,Tonelada,8390000,Plátano,31,31,0,266.6,8.6,1200,319920
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,98,Totolapa,3,Perennes,2,Temporal,200201,Tonelada,9290000,Zapote,20.75,20.75,0,53.7,2.59,1257.54,67530
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,101,Tuxtla Gutiérrez,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,4280,4263,17,8988,2.11,1420,12762960
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,101,Tuxtla Gutiérrez,2,Primavera-Verano,2,Temporal,200201,Tonelada,8810000,Sorgo grano,60,60,0,210,3.5,1200,252000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,101,Tuxtla Gutiérrez,3,Perennes,2,Temporal,200201,Tonelada,5710000,Café cereza,68,68,0,122.4,1.8,2200,269280
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,101,Tuxtla Gutiérrez,3,Perennes,2,Temporal,200201,Tonelada,7390000,Limón,2,2,0,14,7,1100,15400
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,110,San Lucas,1,Otoño-Invierno,1,Riego,200201,Tonelada,7490000,Maíz grano,179,179,0,411.7,2.3,1400,576380
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,110,San Lucas,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,4060,4060,0,10150,2.5,1420,14413000
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,110,San Lucas,3,Perennes,2,Temporal,200201,Tonelada,5060000,Aguacate,25,25,0,156.25,6.25,1200,187500
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,110,San Lucas,3,Perennes,2,Temporal,200201,Tonelada,6220000,Ciruela,33,33,0,178.2,5.4,1800,320760
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,110,San Lucas,3,Perennes,2,Temporal,200201,Tonelada,7540000,Mamey,60,60,0,342,5.7,1400,478800
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,110,San Lucas,3,Perennes,2,Temporal,200201,Tonelada,7560000,Mango,60,60,0,618,10.3,879.45,543500
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,110,San Lucas,3,Perennes,2,Temporal,200201,Tonelada,8390000,Plátano,38,38,0,273.6,7.2,1100,300960
2003,7,Chiapas,18,Tuxtla Gutiérrez,1,Tuxtla Gutiérrez,110,San Lucas,3,Perennes,2,Temporal,200201,Tonelada,9290000,Zapote,70.25,70.25,0,166.03,2.36,1278.93,212341
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,18,Coapilla,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,370,370,0,148,0.4,5000,740000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,18,Coapilla,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,3120,3120,0,2520,0.81,1800,4536000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,18,Coapilla,3,Perennes,2,Temporal,200201,Tonelada,5710000,Café cereza,370,253,0,430.1,1.7,1700,731170
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,18,Coapilla,3,Perennes,2,Temporal,200201,Tonelada,7850000,Naranja,10,10,0,57,5.7,900,51300
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,18,Coapilla,3,Perennes,2,Temporal,200201,Tonelada,8390000,Plátano,10,10,0,46.5,4.65,1500,69750
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,21,Copainalá,1,Otoño-Invierno,2,Temporal,200201,Tonelada,6840000,Frijol,80,80,0,40,0.5,5500,220000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,21,Copainalá,1,Otoño-Invierno,2,Temporal,200201,Tonelada,7490000,Maíz grano,250,0,250,0,0,0,0
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,21,Copainalá,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,300,300,0,150,0.5,6000,900000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,21,Copainalá,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,1800,1800,0,2016,1.12,1800,3628800
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,21,Copainalá,3,Perennes,2,Temporal,200201,Tonelada,5710000,Café cereza,1876,1175,0,2115,1.8,1800,3807000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,21,Copainalá,3,Perennes,2,Temporal,200201,Tonelada,7850000,Naranja,75,75,0,487.5,6.5,900,438750
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,21,Copainalá,3,Perennes,2,Temporal,200201,Tonelada,8280000,Pimienta,435,435,0,87,0.2,20000,1740000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,21,Copainalá,3,Perennes,2,Temporal,200201,Tonelada,8390000,Plátano,203,203,0,1339.8,6.6,1100,1473780
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,60,Ocotepec,1,Otoño-Invierno,2,Temporal,200201,Tonelada,6840000,Frijol,60,60,0,15,0.25,6000,90000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,60,Ocotepec,1,Otoño-Invierno,2,Temporal,200201,Tonelada,7490000,Maíz grano,275,275,0,110,0.4,1400,154000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,60,Ocotepec,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,300,300,0,120,0.4,5000,600000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,60,Ocotepec,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,1170,1170,0,805,0.69,2000,1610000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,60,Ocotepec,3,Perennes,2,Temporal,200201,Tonelada,5710000,Café cereza,1200,808,0,1414,1.75,1750,2474500
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,60,Ocotepec,3,Perennes,2,Temporal,200201,Tonelada,8390000,Plátano,10,10,0,48,4.8,1200,57600
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,92,Tecpatán,1,Otoño-Invierno,2,Temporal,200201,Tonelada,6840000,Frijol,415,415,0,124.5,0.3,6000,747000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,92,Tecpatán,1,Otoño-Invierno,2,Temporal,200201,Tonelada,7490000,Maíz grano,1740,1740,0,446.2,0.26,1600,713920
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,92,Tecpatán,2,Primavera-Verano,2,Temporal,200201,Tonelada,6840000,Frijol,530,530,0,212,0.4,5500,1166000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,92,Tecpatán,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,6768,6768,0,5975,0.88,1800,10755000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,92,Tecpatán,3,Perennes,2,Temporal,200201,Tonelada,5700000,Cacao,500,500,0,300,0.6,6000,1800000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,92,Tecpatán,3,Perennes,2,Temporal,200201,Tonelada,5710000,Café cereza,811,695,0,973,1.4,1800,1751400
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,92,Tecpatán,3,Perennes,2,Temporal,200201,Tonelada,7390000,Limón,20,20,0,110,5.5,1200,132000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,92,Tecpatán,3,Perennes,2,Temporal,200201,Tonelada,7540000,Mamey,23,23,0,92,4,1200,110400
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,92,Tecpatán,3,Perennes,2,Temporal,200201,Tonelada,7550000,Mandarina,30,30,0,144,4.8,700,100800
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,92,Tecpatán,3,Perennes,2,Temporal,200201,Tonelada,7560000,Mango,40,40,0,320,8,800,256000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,92,Tecpatán,3,Perennes,2,Temporal,200201,Tonelada,7830000,Nanche,60,60,0,150,2.5,2000,300000
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,92,Tecpatán,3,Perennes,2,Temporal,200201,Tonelada,7850000,Naranja,533,533,0,3997.5,7.5,900,3597750
2003,7,Chiapas,18,Tuxtla Gutiérrez,2,Tecpatán,92,Tecpatán,3,Perennes,2,Temporal,200201,Tonelada,8390000,Plátano,272,272,0,1822.4,6.7,1300,2369120
2003,7,Chiapas,18,Tuxtla Gutiérrez,3,Cintalapa,17,Cintalapa,1,Otoño-Invierno,1,Riego,200201,Tonelada,6120000,Chile verde,3,3,0,54,18,5000,270000
2003,7,Chiapas,18,Tuxtla Gutiérrez,3,Cintalapa,17,Cintalapa,1,Otoño-Invierno,1,Riego,200201,Tonelada,6840000,Frijol,590,590,0,354,0.6,5000,1770000
2003,7,Chiapas,18,Tuxtla Gutiérrez,3,Cintalapa,17,Cintalapa,1,Otoño-Invierno,1,Riego,200201,Tonelada,7490000,Maíz grano,325.77,325.77,0,1042.4,3.2,1360,1417664
2003,7,Chiapas,18,Tuxtla Gutiérrez,3,Cintalapa,17,Cintalapa,1,Otoño-Invierno,1,Riego,200201,Tonelada,8710000,Sandía,17.99,17.99,0,287.84,16,2000,575680
2003,7,Chiapas,18,Tuxtla Gutiérrez,3,Cintalapa,17,Cintalapa,1,Otoño-Invierno,1,Riego,200201,Tonelada,8810000,Sorgo grano,23.68,23.68,0,99.4,4.2,1250,124250
