FID,Shape *,municipio,cvemun,REGION_2,N_G1,Area_Km2
117,Polygon,Chalchihuitán,22,V Altos Tsotsil Tseltal,PHAEOZEM,11.095555
118,Polygon,Chalchihuitán,22,V Altos Tsotsil Tseltal,PLINTOSOL,121.554537
119,Polygon,Chamula,23,V Altos Tsotsil Tseltal,ALISOL,0.167599
120,Polygon,Chamula,23,V Altos Tsotsil Tseltal,GLEYSOL,0.00216
121,Polygon,Chamula,23,V Altos Tsotsil Tseltal,LEPTOSOL,42.376917
122,Polygon,Chamula,23,V Altos Tsotsil Tseltal,LUVISOL,249.507078
123,Polygon,Chamula,23,V Altos Tsotsil Tseltal,PHAEOZEM,48.839479
124,Polygon,Chamula,23,V Altos Tsotsil Tseltal,REGOSOL,3.447637
125,Polygon,Chanal,24,V Altos Tsotsil Tseltal,ALISOL,5.526234
126,Polygon,Chanal,24,V Altos Tsotsil Tseltal,GLEYSOL,0.0726
127,Polygon,Chanal,24,V Altos Tsotsil Tseltal,LEPTOSOL,34.922672
128,Polygon,Chanal,24,V Altos Tsotsil Tseltal,LUVISOL,364.145349
129,Polygon,Chanal,24,V Altos Tsotsil Tseltal,No aplica,1.767712
130,Polygon,Chapultenango,25,VIII Norte,ACRISOL,0.00549
131,Polygon,Chapultenango,25,VIII Norte,ARENOSOL,2.218576
132,Polygon,Chapultenango,25,VIII Norte,LEPTOSOL,0.040131
133,Polygon,Chapultenango,25,VIII Norte,LUVISOL,144.866706
134,Polygon,Chapultenango,25,VIII Norte,No aplica,0.316842
135,Polygon,Chapultenango,25,VIII Norte,PHAEOZEM,32.340103
136,Polygon,Chapultenango,25,VIII Norte,REGOSOL,1.49241
137,Polygon,Chenalhó,26,V Altos Tsotsil Tseltal,LEPTOSOL,12.994287
138,Polygon,Chenalhó,26,V Altos Tsotsil Tseltal,LUVISOL,215.998648
139,Polygon,Chenalhó,26,V Altos Tsotsil Tseltal,PHAEOZEM,20.243263
140,Polygon,Chenalhó,26,V Altos Tsotsil Tseltal,PLINTOSOL,1.902306
141,Polygon,Chiapa de Corzo,27,I Metropolitana,FLUVISOL,5.499878
142,Polygon,Chiapa de Corzo,27,I Metropolitana,LEPTOSOL,310.885691
143,Polygon,Chiapa de Corzo,27,I Metropolitana,LUVISOL,39.502875
144,Polygon,Chiapa de Corzo,27,I Metropolitana,No aplica,20.762986
145,Polygon,Chiapa de Corzo,27,I Metropolitana,PHAEOZEM,88.297893
146,Polygon,Chiapa de Corzo,27,I Metropolitana,REGOSOL,284.373751
147,Polygon,Chiapa de Corzo,27,I Metropolitana,VERTISOL,39.073953
148,Polygon,Chiapilla,28,IV De Los Llanos,FLUVISOL,1.800121
149,Polygon,Chiapilla,28,IV De Los Llanos,LEPTOSOL,12.857443
150,Polygon,Chiapilla,28,IV De Los Llanos,LUVISOL,8.140968
151,Polygon,Chiapilla,28,IV De Los Llanos,No aplica,0.583793
152,Polygon,Chiapilla,28,IV De Los Llanos,PHAEOZEM,25.832958
153,Polygon,Chiapilla,28,IV De Los Llanos,REGOSOL,0.078983
154,Polygon,Chiapilla,28,IV De Los Llanos,VERTISOL,2.068694
155,Polygon,Chicoasén,29,III Mezcalapa,LEPTOSOL,67.658271
156,Polygon,Chicoasén,29,III Mezcalapa,LUVISOL,13.235395
157,Polygon,Chicoasén,29,III Mezcalapa,No aplica,1.085868
158,Polygon,Chicoasén,29,III Mezcalapa,REGOSOL,33.264418
159,Polygon,Chicomuselo,30,XI Sierra Mariscal,ACRISOL,115.001838
160,Polygon,Chicomuselo,30,XI Sierra Mariscal,CAMBISOL,64.611251
161,Polygon,Chicomuselo,30,XI Sierra Mariscal,FLUVISOL,31.174081
162,Polygon,Chicomuselo,30,XI Sierra Mariscal,LEPTOSOL,281.574904
163,Polygon,Chicomuselo,30,XI Sierra Mariscal,LUVISOL,224.118113
164,Polygon,Chicomuselo,30,XI Sierra Mariscal,No aplica,1.234511
165,Polygon,Chicomuselo,30,XI Sierra Mariscal,PHAEOZEM,77.024622
166,Polygon,Chicomuselo,30,XI Sierra Mariscal,REGOSOL,200.622052
167,Polygon,Chilón,31,XIV Tulijá Tseltal Chol,CAMBISOL,4.591721
168,Polygon,Chilón,31,XIV Tulijá Tseltal Chol,LEPTOSOL,635.986101
169,Polygon,Chilón,31,XIV Tulijá Tseltal Chol,LUVISOL,189.117113
170,Polygon,Chilón,31,XIV Tulijá Tseltal Chol,No aplica,0.774061
171,Polygon,Chilón,31,XIV Tulijá Tseltal Chol,PHAEOZEM,540.491176
172,Polygon,Chilón,31,XIV Tulijá Tseltal Chol,REGOSOL,62.876318
173,Polygon,Chilón,31,XIV Tulijá Tseltal Chol,UMBRISOL,219.822504
174,Polygon,Chilón,31,XIV Tulijá Tseltal Chol,VERTISOL,25.031874
175,Polygon,Cintalapa,17,II Valles Zoque,ACRISOL,5.383598
176,Polygon,Cintalapa,17,II Valles Zoque,ALISOL,9.945955
177,Polygon,Cintalapa,17,II Valles Zoque,CAMBISOL,431.896173
178,Polygon,Cintalapa,17,II Valles Zoque,FLUVISOL,19.733354
179,Polygon,Cintalapa,17,II Valles Zoque,LEPTOSOL,961.066228
180,Polygon,Cintalapa,17,II Valles Zoque,LUVISOL,398.213871
181,Polygon,Cintalapa,17,II Valles Zoque,NITISOL,25.101411
182,Polygon,Cintalapa,17,II Valles Zoque,No aplica,9.252839
183,Polygon,Cintalapa,17,II Valles Zoque,PHAEOZEM,101.435199
184,Polygon,Cintalapa,17,II Valles Zoque,REGOSOL,651.273866
185,Polygon,Cintalapa,17,II Valles Zoque,UMBRISOL,253.549979
186,Polygon,Cintalapa,17,II Valles Zoque,VERTISOL,189.62143
187,Polygon,Coapilla,18,III Mezcalapa,LEPTOSOL,33.727764
188,Polygon,Coapilla,18,III Mezcalapa,LUVISOL,52.603546
189,Polygon,Coapilla,18,III Mezcalapa,No aplica,0.213694
190,Polygon,Coapilla,18,III Mezcalapa,PHAEOZEM,68.342179
191,Polygon,Comitán de Domínguez,19,XV Meseta Comiteca Tojolabal,ALISOL,51.435758
192,Polygon,Comitán de Domínguez,19,XV Meseta Comiteca Tojolabal,LEPTOSOL,610.404395
193,Polygon,Comitán de Domínguez,19,XV Meseta Comiteca Tojolabal,LUVISOL,122.74322
194,Polygon,Comitán de Domínguez,19,XV Meseta Comiteca Tojolabal,No aplica,5.476478
195,Polygon,Comitán de Domínguez,19,XV Meseta Comiteca Tojolabal,PHAEOZEM,12.091222
196,Polygon,Comitán de Domínguez,19,XV Meseta Comiteca Tojolabal,PLANOSOL,58.26086
197,Polygon,Comitán de Domínguez,19,XV Meseta Comiteca Tojolabal,VERTISOL,116.836336
198,Polygon,Copainalá,21,III Mezcalapa,LEPTOSOL,59.103724
199,Polygon,Copainalá,21,III Mezcalapa,LUVISOL,183.257766
200,Polygon,Copainalá,21,III Mezcalapa,No aplica,3.393439
201,Polygon,Copainalá,21,III Mezcalapa,PHAEOZEM,100.387663
202,Polygon,El Bosque,14,VII De Los Bosques,LUVISOL,0.24352
203,Polygon,El Bosque,14,VII De Los Bosques,PHAEOZEM,86.284014
204,Polygon,El Bosque,14,VII De Los Bosques,PLINTOSOL,72.503054
205,Polygon,El Parral,122,VI Frailesca,LEPTOSOL,246.543775
206,Polygon,El Parral,122,VI Frailesca,LUVISOL,64.954238
207,Polygon,El Parral,122,VI Frailesca,No aplica,6.550527
