FID,Shape *,municipio,cvemun,REGION_2,N_G1,Area_Km2
359,Polygon,Mapastepec,51,IX Istmo Costa,FLUVISOL,54.190736
360,Polygon,Mapastepec,51,IX Istmo Costa,GLEYSOL,65.615485
361,Polygon,Mapastepec,51,IX Istmo Costa,LEPTOSOL,248.861934
362,Polygon,Mapastepec,51,IX Istmo Costa,LUVISOL,38.098755
363,Polygon,Mapastepec,51,IX Istmo Costa,No aplica,11.677621
364,Polygon,Mapastepec,51,IX Istmo Costa,REGOSOL,268.845314
365,Polygon,Mapastepec,51,IX Istmo Costa,SOLONCHAK,64.47393
366,Polygon,Maravilla Tenejapa,115,XV Meseta Comiteca Tojolabal,CAMBISOL,41.473837
367,Polygon,Maravilla Tenejapa,115,XV Meseta Comiteca Tojolabal,FLUVISOL,5.168305
368,Polygon,Maravilla Tenejapa,115,XV Meseta Comiteca Tojolabal,LEPTOSOL,186.379362
369,Polygon,Maravilla Tenejapa,115,XV Meseta Comiteca Tojolabal,LUVISOL,135.904483
370,Polygon,Maravilla Tenejapa,115,XV Meseta Comiteca Tojolabal,No aplica,1.951627
371,Polygon,Maravilla Tenejapa,115,XV Meseta Comiteca Tojolabal,PHAEOZEM,104.845142
372,Polygon,Maravilla Tenejapa,115,XV Meseta Comiteca Tojolabal,REGOSOL,19.478354
373,Polygon,Maravilla Tenejapa,115,XV Meseta Comiteca Tojolabal,VERTISOL,47.646074
374,Polygon,Marqués de Comillas,116,XIII Maya,CAMBISOL,4.541696
375,Polygon,Marqués de Comillas,116,XIII Maya,FLUVISOL,68.508641
376,Polygon,Marqués de Comillas,116,XIII Maya,GLEYSOL,190.685432
377,Polygon,Marqués de Comillas,116,XIII Maya,LUVISOL,379.565618
378,Polygon,Marqués de Comillas,116,XIII Maya,No aplica,1.630153
379,Polygon,Marqués de Comillas,116,XIII Maya,PHAEOZEM,123.521379
380,Polygon,Marqués de Comillas,116,XIII Maya,UMBRISOL,24.060018
381,Polygon,Marqués de Comillas,116,XIII Maya,VERTISOL,116.801416
382,Polygon,Mazapa de Madero,53,XI Sierra Mariscal,ANDOSOL,2.539808
383,Polygon,Mazapa de Madero,53,XI Sierra Mariscal,CAMBISOL,45.026047
384,Polygon,Mazapa de Madero,53,XI Sierra Mariscal,FLUVISOL,2.69295
385,Polygon,Mazapa de Madero,53,XI Sierra Mariscal,REGOSOL,58.984333
386,Polygon,Mazatán,54,X Soconusco,ARENOSOL,13.549658
387,Polygon,Mazatán,54,X Soconusco,FLUVISOL,0.537789
388,Polygon,Mazatán,54,X Soconusco,GLEYSOL,57.461572
389,Polygon,Mazatán,54,X Soconusco,No aplica,5.625313
390,Polygon,Mazatán,54,X Soconusco,PHAEOZEM,253.304933
391,Polygon,Mazatán,54,X Soconusco,REGOSOL,8.627191
392,Polygon,Mazatán,54,X Soconusco,SOLONCHAK,44.972331
393,Polygon,Metapa,55,X Soconusco,CAMBISOL,19.944884
394,Polygon,Metapa,55,X Soconusco,FLUVISOL,2.134956
395,Polygon,Metapa,55,X Soconusco,LUVISOL,0.486378
396,Polygon,Metapa,55,X Soconusco,No aplica,0.125723
397,Polygon,Mezcalapa,124,III Mezcalapa,CAMBISOL,65.623066
398,Polygon,Mezcalapa,124,III Mezcalapa,LEPTOSOL,7.422319
399,Polygon,Mezcalapa,124,III Mezcalapa,LUVISOL,433.022824
400,Polygon,Mezcalapa,124,III Mezcalapa,No aplica,197.892171
401,Polygon,Mezcalapa,124,III Mezcalapa,PLINTOSOL,42.295536
402,Polygon,Mitontic,56,V Altos Tsotsil Tseltal,LEPTOSOL,4.819897
403,Polygon,Mitontic,56,V Altos Tsotsil Tseltal,LUVISOL,30.731729
404,Polygon,Mitontic,56,V Altos Tsotsil Tseltal,PHAEOZEM,0.956584
405,Polygon,Montecristo de Guerrero,117,VI Frailesca,ACRISOL,3.05829
406,Polygon,Montecristo de Guerrero,117,VI Frailesca,CAMBISOL,47.001781
407,Polygon,Montecristo de Guerrero,117,VI Frailesca,FLUVISOL,6.64837
408,Polygon,Montecristo de Guerrero,117,VI Frailesca,LEPTOSOL,101.983737
409,Polygon,Montecristo de Guerrero,117,VI Frailesca,LUVISOL,27.893232
410,Polygon,Montecristo de Guerrero,117,VI Frailesca,REGOSOL,11.162513
411,Polygon,Motozintla,57,XI Sierra Mariscal,ACRISOL,88.803843
412,Polygon,Motozintla,57,XI Sierra Mariscal,CAMBISOL,102.823391
413,Polygon,Motozintla,57,XI Sierra Mariscal,FLUVISOL,2.130072
414,Polygon,Motozintla,57,XI Sierra Mariscal,LUVISOL,127.050798
415,Polygon,Motozintla,57,XI Sierra Mariscal,No aplica,1.023679
416,Polygon,Motozintla,57,XI Sierra Mariscal,PHAEOZEM,92.134382
417,Polygon,Motozintla,57,XI Sierra Mariscal,REGOSOL,169.952273
418,Polygon,Nicolás Ruíz,58,IV De Los Llanos,LUVISOL,23.688552
419,Polygon,Nicolás Ruíz,58,IV De Los Llanos,PHAEOZEM,5.81707
420,Polygon,Ocosingo,59,XII Selva Lacandona,ACRISOL,78.119202
421,Polygon,Ocosingo,59,XII Selva Lacandona,CAMBISOL,880.063684
422,Polygon,Ocosingo,59,XII Selva Lacandona,FLUVISOL,43.411244
423,Polygon,Ocosingo,59,XII Selva Lacandona,GLEYSOL,405.787044
424,Polygon,Ocosingo,59,XII Selva Lacandona,LEPTOSOL,2499.644789
425,Polygon,Ocosingo,59,XII Selva Lacandona,LUVISOL,2790.219487
426,Polygon,Ocosingo,59,XII Selva Lacandona,NITISOL,10.286179
427,Polygon,Ocosingo,59,XII Selva Lacandona,No aplica,100.24864
428,Polygon,Ocosingo,59,XII Selva Lacandona,PHAEOZEM,1877.198938
429,Polygon,Ocosingo,59,XII Selva Lacandona,REGOSOL,128.274052
430,Polygon,Ocosingo,59,XII Selva Lacandona,UMBRISOL,411.701352
431,Polygon,Ocosingo,59,XII Selva Lacandona,VERTISOL,342.501942
432,Polygon,Ocotepec,60,III Mezcalapa,LUVISOL,31.115178
433,Polygon,Ocotepec,60,III Mezcalapa,No aplica,0.152186
434,Polygon,Ocotepec,60,III Mezcalapa,PHAEOZEM,29.823267
435,Polygon,Ocozocoautla de Espinosa,61,II Valles Zoque,ALISOL,0.148307
436,Polygon,Ocozocoautla de Espinosa,61,II Valles Zoque,CAMBISOL,63.603153
437,Polygon,Ocozocoautla de Espinosa,61,II Valles Zoque,FLUVISOL,1.109358
438,Polygon,Ocozocoautla de Espinosa,61,II Valles Zoque,LEPTOSOL,732.432631
439,Polygon,Ocozocoautla de Espinosa,61,II Valles Zoque,LUVISOL,569.820908
440,Polygon,Ocozocoautla de Espinosa,61,II Valles Zoque,No aplica,64.231536
441,Polygon,Ocozocoautla de Espinosa,61,II Valles Zoque,PHAEOZEM,488.205208
442,Polygon,Ocozocoautla de Espinosa,61,II Valles Zoque,PLINTOSOL,3.985607
443,Polygon,Ocozocoautla de Espinosa,61,II Valles Zoque,REGOSOL,30.746957
444,Polygon,Ocozocoautla de Espinosa,61,II Valles Zoque,VERTISOL,128.125737
445,Polygon,Ostuacán,62,VIII Norte,ACRISOL,6.110435
446,Polygon,Ostuacán,62,VIII Norte,ARENOSOL,10.090898
447,Polygon,Ostuacán,62,VIII Norte,CAMBISOL,15.549074
448,Polygon,Ostuacán,62,VIII Norte,GLEYSOL,32.170717
449,Polygon,Ostuacán,62,VIII Norte,LIXISOL,32.734051
450,Polygon,Ostuacán,62,VIII Norte,LUVISOL,405.527451
451,Polygon,Ostuacán,62,VIII Norte,No aplica,36.62133
452,Polygon,Ostuacán,62,VIII Norte,PHAEOZEM,12.101956
453,Polygon,Ostuacán,62,VIII Norte,PLINTOSOL,46.631436
454,Polygon,Osumacinta,63,III Mezcalapa,LEPTOSOL,39.225232
455,Polygon,Osumacinta,63,III Mezcalapa,LUVISOL,3.727198
456,Polygon,Osumacinta,63,III Mezcalapa,No aplica,13.989016
457,Polygon,Osumacinta,63,III Mezcalapa,REGOSOL,35.282617
458,Polygon,Oxchuc,64,V Altos Tsotsil Tseltal,LEPTOSOL,160.307512
459,Polygon,Oxchuc,64,V Altos Tsotsil Tseltal,LUVISOL,255.268028
460,Polygon,Oxchuc,64,V Altos Tsotsil Tseltal,No aplica,0.615001
461,Polygon,Oxchuc,64,V Altos Tsotsil Tseltal,PHAEOZEM,0.005838
462,Polygon,Palenque,65,XIII Maya,FLUVISOL,11.821062
463,Polygon,Palenque,65,XIII Maya,GLEYSOL,405.505449
464,Polygon,Palenque,65,XIII Maya,LEPTOSOL,644.507545
465,Polygon,Palenque,65,XIII Maya,LUVISOL,795.341204
466,Polygon,Palenque,65,XIII Maya,No aplica,23.719323
467,Polygon,Palenque,65,XIII Maya,PHAEOZEM,359.352291
468,Polygon,Palenque,65,XIII Maya,REGOSOL,646.296669
469,Polygon,Pantelhó,66,V Altos Tsotsil Tseltal,LEPTOSOL,8.344922
470,Polygon,Pantelhó,66,V Altos Tsotsil Tseltal,LUVISOL,148.204981
471,Polygon,Pantelhó,66,V Altos Tsotsil Tseltal,PHAEOZEM,0.040814
472,Polygon,Pantelhó,66,V Altos Tsotsil Tseltal,PLINTOSOL,35.810539
473,Polygon,Pantepec,67,VII De Los Bosques,LEPTOSOL,32.228781
474,Polygon,Pantepec,67,VII De Los Bosques,LUVISOL,32.370526
475,Polygon,Pantepec,67,VII De Los Bosques,PHAEOZEM,40.991119
476,Polygon,Pichucalco,68,VIII Norte,ACRISOL,2.633917
477,Polygon,Pichucalco,68,VIII Norte,ARENOSOL,0.048454
478,Polygon,Pichucalco,68,VIII Norte,GLEYSOL,40.473685
479,Polygon,Pichucalco,68,VIII Norte,LIXISOL,9.983833
480,Polygon,Pichucalco,68,VIII Norte,LUVISOL,514.065008
481,Polygon,Pichucalco,68,VIII Norte,No aplica,1.502852
482,Polygon,Pichucalco,68,VIII Norte,PLINTOSOL,2.807948
483,Polygon,Pichucalco,68,VIII Norte,REGOSOL,21.167553
484,Polygon,Pijijiapan,69,IX Istmo Costa,ARENOSOL,14.745797
485,Polygon,Pijijiapan,69,IX Istmo Costa,CAMBISOL,370.282023
486,Polygon,Pijijiapan,69,IX Istmo Costa,FLUVISOL,65.758651
487,Polygon,Pijijiapan,69,IX Istmo Costa,GLEYSOL,159.826966
488,Polygon,Pijijiapan,69,IX Istmo Costa,LEPTOSOL,261.633449
489,Polygon,Pijijiapan,69,IX Istmo Costa,LUVISOL,70.596586
490,Polygon,Pijijiapan,69,IX Istmo Costa,No aplica,25.374533
491,Polygon,Pijijiapan,69,IX Istmo Costa,REGOSOL,599.192031
492,Polygon,Pijijiapan,69,IX Istmo Costa,SOLONCHAK,179.476631
493,Polygon,Pueblo Nuevo Solistahuacán,72,VII De Los Bosques,CAMBISOL,5.779902
494,Polygon,Pueblo Nuevo Solistahuacán,72,VII De Los Bosques,LEPTOSOL,0.877711
495,Polygon,Pueblo Nuevo Solistahuacán,72,VII De Los Bosques,LUVISOL,92.379254
496,Polygon,Pueblo Nuevo Solistahuacán,72,VII De Los Bosques,PHAEOZEM,5.018277
497,Polygon,Pueblo Nuevo Solistahuacán,72,VII De Los Bosques,PLINTOSOL,73.480326
498,Polygon,Rayón,73,VII De Los Bosques,LEPTOSOL,45.422876
499,Polygon,Rayón,73,VII De Los Bosques,LUVISOL,15.857165
500,Polygon,Rayón,73,VII De Los Bosques,No aplica,0.41188
501,Polygon,Rayón,73,VII De Los Bosques,PHAEOZEM,3.170877
502,Polygon,Reforma,74,VIII Norte,GLEYSOL,180.544679
503,Polygon,Reforma,74,VIII Norte,LUVISOL,2.653558
504,Polygon,Reforma,74,VIII Norte,No aplica,13.646767
505,Polygon,Reforma,74,VIII Norte,PLINTOSOL,237.711591
506,Polygon,Rincón Chamula San Pedro,121,VII De Los Bosques,LEPTOSOL,6.64479
507,Polygon,Rincón Chamula San Pedro,121,VII De Los Bosques,LUVISOL,66.899251
508,Polygon,Rincón Chamula San Pedro,121,VII De Los Bosques,PHAEOZEM,2.910501
509,Polygon,Rincón Chamula San Pedro,121,VII De Los Bosques,PLINTOSOL,1.480203
510,Polygon,Sabanilla,76,XIV Tulijá Tseltal Chol,LEPTOSOL,85.774982
511,Polygon,Sabanilla,76,XIV Tulijá Tseltal Chol,LUVISOL,160.733588
512,Polygon,Sabanilla,76,XIV Tulijá Tseltal Chol,PHAEOZEM,3.254104
513,Polygon,Salto de Agua,77,XIV Tulijá Tseltal Chol,ACRISOL,43.551442
514,Polygon,Salto de Agua,77,XIV Tulijá Tseltal Chol,GLEYSOL,0.029331
515,Polygon,Salto de Agua,77,XIV Tulijá Tseltal Chol,LEPTOSOL,90.946335
516,Polygon,Salto de Agua,77,XIV Tulijá Tseltal Chol,LUVISOL,673.977601
517,Polygon,Salto de Agua,77,XIV Tulijá Tseltal Chol,No aplica,12.518546
518,Polygon,Salto de Agua,77,XIV Tulijá Tseltal Chol,PHAEOZEM,179.662516
519,Polygon,Salto de Agua,77,XIV Tulijá Tseltal Chol,PLINTOSOL,23.778721
520,Polygon,Salto de Agua,77,XIV Tulijá Tseltal Chol,REGOSOL,203.030332
521,Polygon,San Andrés Duraznal,118,VII De Los Bosques,LUVISOL,4.821476
522,Polygon,San Andrés Duraznal,118,VII De Los Bosques,PLINTOSOL,33.484884
523,Polygon,San Cristóbal de Las Casas,78,V Altos Tsotsil Tseltal,ALISOL,67.870326
524,Polygon,San Cristóbal de Las Casas,78,V Altos Tsotsil Tseltal,GLEYSOL,8.056103
525,Polygon,San Cristóbal de Las Casas,78,V Altos Tsotsil Tseltal,LEPTOSOL,39.994257
526,Polygon,San Cristóbal de Las Casas,78,V Altos Tsotsil Tseltal,LUVISOL,265.565218
527,Polygon,San Cristóbal de Las Casas,78,V Altos Tsotsil Tseltal,No aplica,12.390646
528,Polygon,San Fernando,79,III Mezcalapa,LEPTOSOL,156.530003
529,Polygon,San Fernando,79,III Mezcalapa,LUVISOL,167.648736
530,Polygon,San Fernando,79,III Mezcalapa,No aplica,3.788361
531,Polygon,San Fernando,79,III Mezcalapa,PHAEOZEM,3.551659
532,Polygon,San Fernando,79,III Mezcalapa,REGOSOL,23.781776
533,Polygon,San Fernando,79,III Mezcalapa,VERTISOL,3.955436
534,Polygon,San Juan Cancuc,112,V Altos Tsotsil Tseltal,LEPTOSOL,43.250123
535,Polygon,San Juan Cancuc,112,V Altos Tsotsil Tseltal,LUVISOL,77.955438
536,Polygon,San Juan Cancuc,112,V Altos Tsotsil Tseltal,PHAEOZEM,51.714367
537,Polygon,San Lucas,110,IV De Los Llanos,LEPTOSOL,21.243454
538,Polygon,San Lucas,110,IV De Los Llanos,LUVISOL,59.275351
539,Polygon,San Lucas,110,IV De Los Llanos,REGOSOL,6.696365
540,Polygon,San Lucas,110,IV De Los Llanos,VERTISOL,6.747495
541,Polygon,Santiago el Pinar,119,V Altos Tsotsil Tseltal,LUVISOL,2.06998
542,Polygon,Santiago el Pinar,119,V Altos Tsotsil Tseltal,PHAEOZEM,14.452931
543,Polygon,Siltepec,80,XI Sierra Mariscal,ACRISOL,116.447055
544,Polygon,Siltepec,80,XI Sierra Mariscal,ANDOSOL,31.542369
545,Polygon,Siltepec,80,XI Sierra Mariscal,CAMBISOL,0.000083
546,Polygon,Siltepec,80,XI Sierra Mariscal,LEPTOSOL,153.585313
547,Polygon,Siltepec,80,XI Sierra Mariscal,LUVISOL,75.704105
548,Polygon,Siltepec,80,XI Sierra Mariscal,No aplica,0.265493
549,Polygon,Siltepec,80,XI Sierra Mariscal,REGOSOL,6.733004
550,Polygon,Simojovel,81,VII De Los Bosques,LEPTOSOL,0.535264
551,Polygon,Simojovel,81,VII De Los Bosques,LUVISOL,148.013771
552,Polygon,Simojovel,81,VII De Los Bosques,PHAEOZEM,26.680241
553,Polygon,Simojovel,81,VII De Los Bosques,PLINTOSOL,138.477795
554,Polygon,Sitalá,82,XIV Tulijá Tseltal Chol,LUVISOL,77.942304
555,Polygon,Sitalá,82,XIV Tulijá Tseltal Chol,PHAEOZEM,27.090838
556,Polygon,Sitalá,82,XIV Tulijá Tseltal Chol,VERTISOL,0.297844
557,Polygon,Socoltenango,83,IV De Los Llanos,LEPTOSOL,260.013947
558,Polygon,Socoltenango,83,IV De Los Llanos,LUVISOL,18.144734
559,Polygon,Socoltenango,83,IV De Los Llanos,No aplica,223.948138
560,Polygon,Socoltenango,83,IV De Los Llanos,PHAEOZEM,28.669628
561,Polygon,Socoltenango,83,IV De Los Llanos,VERTISOL,101.531981
562,Polygon,Solosuchiapa,84,VIII Norte,LEPTOSOL,5.114765
563,Polygon,Solosuchiapa,84,VIII Norte,LUVISOL,148.494478
564,Polygon,Solosuchiapa,84,VIII Norte,PHAEOZEM,2.593485
565,Polygon,Soyaló,85,VII De Los Bosques,LEPTOSOL,20.516164
566,Polygon,Soyaló,85,VII De Los Bosques,LUVISOL,0.911674
567,Polygon,Soyaló,85,VII De Los Bosques,PHAEOZEM,6.10159
568,Polygon,Soyaló,85,VII De Los Bosques,REGOSOL,68.478215
569,Polygon,Suchiapa,86,I Metropolitana,FLUVISOL,1.659451
570,Polygon,Suchiapa,86,I Metropolitana,LEPTOSOL,192.267862
571,Polygon,Suchiapa,86,I Metropolitana,LUVISOL,20.940626
572,Polygon,Suchiapa,86,I Metropolitana,No aplica,1.924514
573,Polygon,Suchiapa,86,I Metropolitana,PHAEOZEM,19.004225
574,Polygon,Suchiapa,86,I Metropolitana,REGOSOL,17.139525
575,Polygon,Suchiapa,86,I Metropolitana,VERTISOL,30.723116
576,Polygon,Suchiate,87,X Soconusco,ARENOSOL,8.034149
577,Polygon,Suchiate,87,X Soconusco,CAMBISOL,39.791922
578,Polygon,Suchiate,87,X Soconusco,FLUVISOL,5.905411
579,Polygon,Suchiate,87,X Soconusco,LUVISOL,26.988311
580,Polygon,Suchiate,87,X Soconusco,No aplica,6.122382
581,Polygon,Suchiate,87,X Soconusco,PHAEOZEM,122.850578
582,Polygon,Suchiate,87,X Soconusco,SOLONCHAK,26.898977
583,Polygon,Sunuapa,88,VIII Norte,LIXISOL,0.050061
584,Polygon,Sunuapa,88,VIII Norte,LUVISOL,78.223818
585,Polygon,Tapachula,89,X Soconusco,ACRISOL,113.865979
586,Polygon,Tapachula,89,X Soconusco,ANDOSOL,0.584129
587,Polygon,Tapachula,89,X Soconusco,ARENOSOL,10.184062
588,Polygon,Tapachula,89,X Soconusco,CAMBISOL,73.275038
589,Polygon,Tapachula,89,X Soconusco,FLUVISOL,33.371866
590,Polygon,Tapachula,89,X Soconusco,LUVISOL,583.418162
591,Polygon,Tapachula,89,X Soconusco,No aplica,16.387378
592,Polygon,Tapachula,89,X Soconusco,PHAEOZEM,124.851822
593,Polygon,Tapachula,89,X Soconusco,REGOSOL,0.779993
594,Polygon,Tapachula,89,X Soconusco,SOLONCHAK,22.572886
595,Polygon,Tapalapa,90,VII De Los Bosques,LEPTOSOL,0.02177
596,Polygon,Tapalapa,90,VII De Los Bosques,LUVISOL,17.584938
597,Polygon,Tapalapa,90,VII De Los Bosques,PHAEOZEM,48.439557
598,Polygon,Tapilula,91,VII De Los Bosques,LEPTOSOL,15.901349
599,Polygon,Tapilula,91,VII De Los Bosques,LUVISOL,21.427742
600,Polygon,Tapilula,91,VII De Los Bosques,PHAEOZEM,0.093199
601,Polygon,Tecpatán,92,III Mezcalapa,CAMBISOL,34.701319
602,Polygon,Tecpatán,92,III Mezcalapa,LUVISOL,394.000091
603,Polygon,Tecpatán,92,III Mezcalapa,No aplica,46.731289
604,Polygon,Tecpatán,92,III Mezcalapa,PHAEOZEM,45.828413
605,Polygon,Tenejapa,93,V Altos Tsotsil Tseltal,LEPTOSOL,28.899457
606,Polygon,Tenejapa,93,V Altos Tsotsil Tseltal,LUVISOL,145.145849
607,Polygon,Tenejapa,93,V Altos Tsotsil Tseltal,PHAEOZEM,18.276571
608,Polygon,Teopisca,94,V Altos Tsotsil Tseltal,ALISOL,40.396256
609,Polygon,Teopisca,94,V Altos Tsotsil Tseltal,GLEYSOL,4.122593
610,Polygon,Teopisca,94,V Altos Tsotsil Tseltal,LEPTOSOL,55.399653
611,Polygon,Teopisca,94,V Altos Tsotsil Tseltal,LUVISOL,163.116287
612,Polygon,Teopisca,94,V Altos Tsotsil Tseltal,No aplica,1.076062
613,Polygon,Teopisca,94,V Altos Tsotsil Tseltal,PLANOSOL,3.234466
614,Polygon,Teopisca,94,V Altos Tsotsil Tseltal,REGOSOL,15.955262
615,Polygon,Tila,96,XIV Tulijá Tseltal Chol,LEPTOSOL,149.617134
616,Polygon,Tila,96,XIV Tulijá Tseltal Chol,LUVISOL,553.227807
617,Polygon,Tila,96,XIV Tulijá Tseltal Chol,No aplica,1.202111
618,Polygon,Tila,96,XIV Tulijá Tseltal Chol,PHAEOZEM,41.093128
619,Polygon,Tila,96,XIV Tulijá Tseltal Chol,PLINTOSOL,51.967024
620,Polygon,Tila,96,XIV Tulijá Tseltal Chol,VERTISOL,3.570319
621,Polygon,Tonalá,97,IX Istmo Costa,ARENOSOL,67.08915
622,Polygon,Tonalá,97,IX Istmo Costa,CAMBISOL,198.967394
623,Polygon,Tonalá,97,IX Istmo Costa,FLUVISOL,5.608917
624,Polygon,Tonalá,97,IX Istmo Costa,GLEYSOL,44.410778
625,Polygon,Tonalá,97,IX Istmo Costa,LEPTOSOL,390.863106
626,Polygon,Tonalá,97,IX Istmo Costa,LUVISOL,425.519226
627,Polygon,Tonalá,97,IX Istmo Costa,No aplica,69.996048
628,Polygon,Tonalá,97,IX Istmo Costa,PHAEOZEM,98.23685
629,Polygon,Tonalá,97,IX Istmo Costa,REGOSOL,203.850314
630,Polygon,Tonalá,97,IX Istmo Costa,SOLONCHAK,129.952769
631,Polygon,Totolapa,98,IV De Los Llanos,FLUVISOL,6.488907
632,Polygon,Totolapa,98,IV De Los Llanos,LEPTOSOL,13.572683
633,Polygon,Totolapa,98,IV De Los Llanos,LUVISOL,41.537701
634,Polygon,Totolapa,98,IV De Los Llanos,No aplica,1.273877
635,Polygon,Totolapa,98,IV De Los Llanos,PHAEOZEM,55.958693
636,Polygon,Totolapa,98,IV De Los Llanos,REGOSOL,39.013735
637,Polygon,Totolapa,98,IV De Los Llanos,VERTISOL,10.553755
638,Polygon,Tumbalá,100,XIV Tulijá Tseltal Chol,ACRISOL,0.307202
639,Polygon,Tumbalá,100,XIV Tulijá Tseltal Chol,LUVISOL,196.445559
640,Polygon,Tumbalá,100,XIV Tulijá Tseltal Chol,PHAEOZEM,187.329319
641,Polygon,Tumbalá,100,XIV Tulijá Tseltal Chol,UMBRISOL,17.851628
642,Polygon,Tuxtla Chico,102,X Soconusco,CAMBISOL,73.556736
643,Polygon,Tuxtla Chico,102,X Soconusco,FLUVISOL,1.968056
644,Polygon,Tuxtla Chico,102,X Soconusco,LUVISOL,88.586519
645,Polygon,Tuxtla Chico,102,X Soconusco,No aplica,1.22298
646,Polygon,Tuxtla Gutiérrez,101,I Metropolitana,LEPTOSOL,118.362012
647,Polygon,Tuxtla Gutiérrez,101,I Metropolitana,LUVISOL,38.063233
648,Polygon,Tuxtla Gutiérrez,101,I Metropolitana,No aplica,54.542435
649,Polygon,Tuxtla Gutiérrez,101,I Metropolitana,REGOSOL,62.36304
650,Polygon,Tuxtla Gutiérrez,101,I Metropolitana,VERTISOL,61.281927
651,Polygon,Tuzantán,103,X Soconusco,ACRISOL,25.29784
652,Polygon,Tuzantán,103,X Soconusco,CAMBISOL,45.356554
653,Polygon,Tuzantán,103,X Soconusco,FLUVISOL,2.65361
654,Polygon,Tuzantán,103,X Soconusco,LUVISOL,15.972665
655,Polygon,Tuzantán,103,X Soconusco,No aplica,0.114113
656,Polygon,Tuzantán,103,X Soconusco,PHAEOZEM,76.748486
657,Polygon,Tuzantán,103,X Soconusco,REGOSOL,7.980844
658,Polygon,Tzimol,104,XV Meseta Comiteca Tojolabal,LEPTOSOL,305.733832
659,Polygon,Tzimol,104,XV Meseta Comiteca Tojolabal,No aplica,2.517157
660,Polygon,Tzimol,104,XV Meseta Comiteca Tojolabal,PHAEOZEM,0.512961
661,Polygon,Tzimol,104,XV Meseta Comiteca Tojolabal,VERTISOL,49.196644
662,Polygon,Unión Juárez,105,X Soconusco,ANDOSOL,45.728876
663,Polygon,Unión Juárez,105,X Soconusco,CAMBISOL,12.26504
664,Polygon,Venustiano Carranza,106,IV De Los Llanos,FLUVISOL,21.000509
665,Polygon,Venustiano Carranza,106,IV De Los Llanos,GLEYSOL,2.020672
666,Polygon,Venustiano Carranza,106,IV De Los Llanos,LEPTOSOL,559.940296
667,Polygon,Venustiano Carranza,106,IV De Los Llanos,LUVISOL,202.262772
668,Polygon,Venustiano Carranza,106,IV De Los Llanos,No aplica,128.766342
669,Polygon,Venustiano Carranza,106,IV De Los Llanos,PHAEOZEM,226.716634
670,Polygon,Venustiano Carranza,106,IV De Los Llanos,REGOSOL,37.578133
671,Polygon,Venustiano Carranza,106,IV De Los Llanos,VERTISOL,180.679938
672,Polygon,Villa Comaltitlán,71,X Soconusco,ARENOSOL,0.171641
673,Polygon,Villa Comaltitlán,71,X Soconusco,CAMBISOL,188.740043
674,Polygon,Villa Comaltitlán,71,X Soconusco,FLUVISOL,32.719825
675,Polygon,Villa Comaltitlán,71,X Soconusco,GLEYSOL,68.671331
676,Polygon,Villa Comaltitlán,71,X Soconusco,No aplica,5.776487
677,Polygon,Villa Comaltitlán,71,X Soconusco,PHAEOZEM,65.200141
678,Polygon,Villa Comaltitlán,71,X Soconusco,REGOSOL,60.350198
679,Polygon,Villa Comaltitlán,71,X Soconusco,SOLONCHAK,23.153635
680,Polygon,Villa Corzo,107,VI Frailesca,CAMBISOL,540.065337
681,Polygon,Villa Corzo,107,VI Frailesca,FLUVISOL,14.921151
682,Polygon,Villa Corzo,107,VI Frailesca,LEPTOSOL,485.031717
683,Polygon,Villa Corzo,107,VI Frailesca,LUVISOL,331.02865
684,Polygon,Villa Corzo,107,VI Frailesca,No aplica,74.749355
685,Polygon,Villa Corzo,107,VI Frailesca,PHAEOZEM,8.224043
686,Polygon,Villa Corzo,107,VI Frailesca,REGOSOL,928.081537
687,Polygon,Villa Corzo,107,VI Frailesca,VERTISOL,3.064261
688,Polygon,Villaflores,108,VI Frailesca,ALISOL,32.447923
689,Polygon,Villaflores,108,VI Frailesca,CAMBISOL,582.573828
690,Polygon,Villaflores,108,VI Frailesca,FLUVISOL,40.114392
691,Polygon,Villaflores,108,VI Frailesca,LEPTOSOL,697.48821
692,Polygon,Villaflores,108,VI Frailesca,LUVISOL,226.468917
693,Polygon,Villaflores,108,VI Frailesca,No aplica,6.146544
694,Polygon,Villaflores,108,VI Frailesca,PHAEOZEM,58.535912
695,Polygon,Villaflores,108,VI Frailesca,PLANOSOL,19.302019
696,Polygon,Villaflores,108,VI Frailesca,REGOSOL,135.043727
697,Polygon,Villaflores,108,VI Frailesca,VERTISOL,99.850927
698,Polygon,Yajalón,109,XIV Tulijá Tseltal Chol,LEPTOSOL,12.403237
699,Polygon,Yajalón,109,XIV Tulijá Tseltal Chol,LUVISOL,95.713528
700,Polygon,Yajalón,109,XIV Tulijá Tseltal Chol,No aplica,0.928201
701,Polygon,Yajalón,109,XIV Tulijá Tseltal Chol,PHAEOZEM,88.09866
702,Polygon,Yajalón,109,XIV Tulijá Tseltal Chol,VERTISOL,11.980513
703,Polygon,Zinacantán,111,V Altos Tsotsil Tseltal,LEPTOSOL,22.209933
704,Polygon,Zinacantán,111,V Altos Tsotsil Tseltal,LUVISOL,137.436771
705,Polygon,Zinacantán,111,V Altos Tsotsil Tseltal,PHAEOZEM,3.510939
706,Polygon,Zinacantán,111,V Altos Tsotsil Tseltal,REGOSOL,31.295841
