FID,municipio,cvemun,Codigo_Region ,REGION_2,Latitud,Longitud,sup,pobtotal
61,Ostuacán,62,VIII,VIII Norte,17.432415,-93.399569,597.5373,18469
62,Osumacinta,63,III ,III Mezcalapa,16.895233,-93.083804,92.2241,3983
63,Oxchuc,64,V,V Altos Tsotsil Tseltal,16.780998,-92.274787,416.1964,54932
64,Palenque,65,XIII,XIII Maya,17.444076,-91.812656,2886.8505,132265
65,Pantelhó,66,V,V Altos Tsotsil Tseltal,17.060103,-92.464065,192.4013,26391
66,Pantepec,67,VII ,VII De Los Bosques,17.189186,-93.0569,105.5904,12266
67,Pichucalco,68,VIII,VIII Norte,17.530577,-93.199141,592.6832,31919
68,Pijijiapan,69,IX,IX Istmo Costa,15.670024,-93.191962,1746.8867,51193
69,El Porvenir,70,XI ,XI Sierra Mariscal,15.432546,-92.263926,82.6076,12263
70,Villa Comaltitlán,71,X,X Soconusco,15.165526,-92.619509,444.7833,30297
71,Pueblo Nuevo Solistahuacán,72,VII ,VII De Los Bosques,17.21803,-92.861738,177.5355,29636
72,Rayón,73,VII ,VII De Los Bosques,17.191361,-92.998277,64.8628,10866
73,Reforma,74,VIII,VIII Norte,17.864223,-93.229381,434.5566,44829
74,Las Rosas,75,XV,XV Meseta Comiteca Tojolabal,16.365308,-92.364727,234.6479,28829
75,Sabanilla,76,XIV ,XIV Tulijá Tseltal Chol,17.319826,-92.610762,249.7627,29889
76,Salto de Agua,77,XIV ,XIV Tulijá Tseltal Chol,17.437619,-92.187141,1227.4948,64251
77,San Cristóbal de Las Casas,78,V,V Altos Tsotsil Tseltal,16.678297,-92.589946,393.8766,215874
78,San Fernando,79,III ,III Mezcalapa,16.913133,-93.209678,359.256,41793
79,Siltepec,80,XI ,XI Sierra Mariscal,15.532373,-92.357244,650.1356,25937
80,Simojovel,81,VII ,VII De Los Bosques,17.138923,-92.625015,313.7071,52935
81,Sitalá,82,XIV ,XIV Tulijá Tseltal Chol,17.037266,-92.34829,105.331,15518
82,Socoltenango,83,IV,IV De Los Llanos,16.106428,-92.375946,632.3084,19092
83,Solosuchiapa,84,VIII,VIII Norte,17.386992,-93.004791,156.2027,8561
84,Soyaló,85,VII ,VII De Los Bosques,16.925969,-92.988675,96.0076,10890
85,Suchiapa,86,I,I Metropolitana,16.585546,-93.136332,283.6593,25627
86,Suchiate,87,X,X Soconusco,14.63927,-92.227365,236.6975,41672
87,Sunuapa,88,VIII,VIII Norte,17.488856,-93.251588,78.2739,2308
88,Tapachula,89,X,X Soconusco,14.933988,-92.304758,979.2913,353706
89,Tapalapa,90,VII ,VII De Los Bosques,17.220114,-93.112314,66.0463,4547
90,Tapilula,91,VII ,VII De Los Bosques,17.253953,-93.003424,37.4223,13592
91,Tecpatán,92,III ,III Mezcalapa,17.172954,-93.395463,521.2622,21426
92,Tenejapa,93,V,V Altos Tsotsil Tseltal,16.833188,-92.472006,192.3219,48162
93,Teopisca,94,V,V Altos Tsotsil Tseltal,16.561103,-92.508812,283.3006,49499
94,Tila,96,XIV ,XIV Tulijá Tseltal Chol,17.379189,-92.485828,800.6775,83505
95,Tonalá,97,IX,IX Istmo Costa,15.990531,-93.654839,1634.4946,91913
96,Totolapa,98,IV,IV De Los Llanos,16.515155,-92.659963,168.3994,7211
97,La Trinitaria,99,XV,XV Meseta Comiteca Tojolabal,16.024443,-91.8994,1602.1875,83111
98,Tumbalá,100,XIV ,XIV Tulijá Tseltal Chol,17.30079,-92.269625,401.9337,38025
99,Tuxtla Gutiérrez,101,I,I Metropolitana,16.739447,-93.137285,334.6126,604147
100,Tuxtla Chico,102,X,X Soconusco,14.894105,-92.19868,165.7521,41024
101,Tuzantán,103,X,X Soconusco,15.140441,-92.411564,174.1241,30302
102,Tzimol,104,XV,XV Meseta Comiteca Tojolabal,16.124083,-92.24644,357.9606,16560
103,Unión Juárez,105,X,X Soconusco,15.059953,-92.10255,62.0001,16008
104,Venustiano Carranza,106,IV,IV De Los Llanos,16.317312,-92.607897,1358.9653,67292
105,Villa Corzo,107,VI,VI Frailesca,16.077347,-93.230254,2385.1661,65643
106,Villaflores,108,VI,VI Frailesca,16.346195,-93.375507,1897.9724,109536
107,Yajalón,109,XIV ,XIV Tulijá Tseltal Chol,17.185559,-92.325849,209.1241,40285
108,San Lucas,110,IV,IV De Los Llanos,16.62247,-92.723781,93.9627,7526
109,Zinacantán,111,V,V Altos Tsotsil Tseltal,16.721916,-92.781981,194.4535,45373
110,San Juan Cancuc,112,V,V Altos Tsotsil Tseltal,16.93016,-92.391668,172.9199,37948
111,Aldama,113,V,V Altos Tsotsil Tseltal,16.921831,-92.690176,26.7889,8480
112,Benemérito de las Américas,114,XIII,XIII Maya,16.281836,-90.562509,1093.9103,23603
113,Maravilla Tenejapa,115,XV,XV Meseta Comiteca Tojolabal,16.199194,-91.248595,542.8891,14714
114,Marqués de Comillas,116,XIII,XIII Maya,16.24635,-90.743423,909.8622,12892
115,Montecristo de Guerrero,117,VI,VI Frailesca,15.671678,-92.66439,197.7479,8412
116,San Andrés Duraznal,118,VII ,VII De Los Bosques,17.154014,-92.80309,38.3064,6047
117,Santiago el Pinar,119,V,V Altos Tsotsil Tseltal,16.949364,-92.721549,16.5229,4959
118,Capitán Luis Ángel Vidal,120,XI ,XI Sierra Mariscal,15.549192,-92.614671,225.2403,4315
119,Rincón Chamula San Pedro,121,VII ,VII De Los Bosques,17.217695,-92.933233,77.9347,8718
120,El Parral,122,VI,VI Frailesca,16.337433,-92.986549,369.6269,15587
121,Emiliano Zapata,123,IV,IV De Los Llanos,16.498908,-92.882686,218.0366,10783
122,Mezcalapa,124,III ,III Mezcalapa,17.214794,-93.632394,746.2559,23847
123,Honduras de la Sierra,125,XI ,XI Sierra Mariscal,15.567626,-92.465113,266.864,11650
124,Belisario Domínguez,126,II,II Valles Zoque,16.773749,-94.140266,906.877,1508
